Year,Month,Date,Day,Holiday_Name,Is_Public_Holiday,Is_Bank_Holiday,Is_Mercantile_Holiday
2019,January,15,Tuesday,Tamil Thai Pongal Day,True,True,True
2019,January,20,Sunday,Duruthu Full Moon Poya Day,True,True,False
2019,February,4,Monday,National Day,True,True,True
2019,February,19,Tuesday,Navam Full Moon Poya Day,True,True,False
2019,March,4,Monday,Mahasivarathri Day,True,True,False
2019,March,20,Wednesday,Medin Full Moon Poya Day,True,True,False
2019,April,12,Friday,Half Day Special Bank Holiday (In lieu ofDay prior toSinhala & Tamil New Year Day which falls on a Saturday),False,True,False
2019,April,13,Saturday,Day prior to Sinhala & Tamil New Year Day,True,True,True
2019,April,14,Sunday,Sinhala & Tamil New Year Day,True,True,True
2019,April,15,Monday,Special Bank Holiday (In lieu of Sinhala & Tamil New Year Day which falls on a Sunday),False,True,False
2019,April,19,Friday,Bak Full Moon Poya Day,True,True,False
2019,April,19,Friday,Good Friday,True,True,False
2019,May,1,Wednesday,May Day,True,True,True
2019,May,18,Saturday,Vesak Full Moon Poya Day,True,True,False
2019,May,19,Sunday,Day following Vesak Full Moon Poya Day,True,True,True
2019,May,20,Monday,Special Bank Holiday (In lieu of Day following Vesak Full Moon Poya Daywhich falls on a Sunday),False,True,False
2019,June,5,Wednesday,Id-Ul-Fitr (Ramazan Festival Day),True,True,False
2019,June,16,Sunday,Poson Full Moon Poya Day,True,True,False
2019,July,16,Tuesday,Esala Full Moon Poya Day,True,True,False
2019,August,12,Monday,Id-Ul-Alha (Hajjhi Festival Day),True,True,False
2019,August,14,Wednesday,Nikini Full Moon Poya Day,True,True,False
2019,September,13,Friday,Binara Full Moon Poya Day,True,True,False
2019,October,13,Sunday,Vap Full Moon Poya Day,True,True,False
2019,October,27,Sunday,Deepavali Festival Day,True,True,False
2019,November,10,Sunday,Milan-Dun-Nabi (Holy Prophet's Birthday),True,True,True
2019,November,11,Monday,Special Bank Holiday (In lieu of Holy Prophet's Birthdaywhich falls on a Sunday),False,True,False
2019,November,12,Tuesday,Il Full Moon Poya Day,True,True,False
2019,December,11,Wednesday,Unduvap Full Moon Poya Day,True,True,False
2019,December,25,Wednesday,Christmas Day,True,True,True
2020,January,10,Friday,Duruthu Full Moon Poya Day,True,True,False
2020,January,15,Wednesday,Tamil Thai Pongal Day,True,True,True
2020,February,4,Tuesday,National Day,True,True,True
2020,February,8,Saturday,Navam Full Moon Poya Day,True,True,False
2020,February,21,Friday,Mahasivarathri Day,True,True,False
2020,March,9,Monday,Medin Full Moon Poya Day,True,True,False
2020,April,7,Tuesday,Bak Full Moon Poya Day,True,True,False
2020,April,10,Friday,Good Friday,True,True,False
2020,April,12,Sunday,Day prior to Sinhala & Tamil New Year Day,True,True,True
2020,April,13,Monday,Sinhala & Tamil New Year Day,True,True,True
2020,April,14,Tuesday,Special Bank Holiday (In lieu of Day Prior to Sinhala & Tamil New Year Day which falls on a Sunday),False,True,False
2020,May,1,Friday,May Day,True,True,True
2020,May,7,Thursday,Vesak Full Moon Poya Day,True,True,False
2020,May,8,Friday,Day following Vesak Full Moon Poya Day,True,True,True
2020,May,25,Monday,Id-Ul-Fitr (Ramazan Festival Day),True,True,False
2020,June,5,Friday,Poson Full Moon Poya Day,True,True,False
2020,July,4,Saturday,Esala Full Moon Poya Day,True,True,False
2020,August,1,Saturday,Id-Ul-Alha (Hadji Festival Day),True,True,False
2020,August,3,Monday,Nikini Full Moon Poya Day,True,True,False
2020,September,1,Tuesday,Binara Full Moon Poya Day,True,True,False
2020,October,1,Thursday,Adhi - Vap Full Moon Poya Day,True,True,False
2020,October,30,Friday,Milan-Dun-Nabi (Holy Prophet's Birthday),True,True,True
2020,October,30,Friday,Vap Full Moon Poya Day,True,True,False
2020,November,14,Saturday,Deepavali Festival Day,True,True,False
2020,November,29,Sunday,Ill Full Moon Poya Day,True,True,False
