Year,Month,Date,Day,Holiday_Name,Is_Public_Holiday,Is_Bank_Holiday,Is_Mercantile_Holiday
2005,January,14,Friday,Tamil Thai Pongal Day,True,True,True
2005,January,21,Friday,Id-Ul-Alha (Hadji Festival Day),True,True,False
2005,January,24,Monday,Duruthu Full Moon Poya Day,True,True,False
2005,February,4,Friday,Independence Day,True,True,True
2005,February,23,Wednesday,Navam Full Moon Poya Day,True,True,False
2005,March,8,Tuesday,Maha Sivarathri Day,True,True,False
2005,March,25,Friday,Good Friday,True,True,False
2005,March,25,Friday,Medin Full Moon Poya Day,True,True,False
2005,April,13,Wednesday,Day prior to Sinhala and Tamil New Year Day,True,True,True
2005,April,14,Thursday,Sinhala and Tamil New Year Day,True,True,True
2005,April,22,Friday,Milad-Un-Nabi (Holy Prophet's Birthday),True,True,True
2005,April,23,Saturday,Bak Full Moon Poya Day,True,True,False
2005,May,1,Sunday,May Day,True,True,True
2005,May,2,Monday,Special Bank Holiday,False,True,False
2005,May,23,Monday,Vesak Full Moon Poya Day,True,True,False
2005,May,24,Tuesday,Day following Vesak Full Moon Poya Day,True,True,True
2005,June,21,Tuesday,Poson Full Moon Poya Day,True,True,False
2005,July,21,Thursday,Esala Full Moon Poya Day,True,True,False
2005,August,19,Friday,Nikini Full Moon Poya Day,True,True,False
2005,September,17,Saturday,Binara Full Moon Poya Day,True,True,False
2005,October,17,Monday,Vap Full Moon Poya Day,True,True,False
2005,November,1,Tuesday,Deepavali Festival Day,True,True,False
2005,November,4,Friday,Id-Ul-Fitr (Ramazan Festival Day),True,True,False
2005,November,15,Tuesday,Il Full Moon Poya Day,True,True,False
2005,December,15,Thursday,Unduvap Full Moon Poya Day,True,True,False
2005,December,25,Sunday,Christmas Day,True,True,True
2005,December,26,Monday,Special Bank Holiday,True,False,False
2006,January,11,Wednesday,Id-Ul-Alha (Hadji Festival Day),True,True,False
2006,January,13,Friday,Duruthu Full Moon Poya Day,True,True,False
2006,January,14,Saturday,Tamil Thai Pongal Day,True,True,True
2006,February,4,Saturday,Independence Day,True,True,True
2006,February,12,Sunday,Navam Full Moon Poya Day,True,True,False
2006,February,26,Sunday,Maha Sivarathri Day,True,True,False
2006,March,14,Tuesday,Medin Full Moon Poya Day,True,True,False
2006,April,11,Tuesday,Milad-Un-Nabi (Holy Prophet's Birthday),True,True,True
2006,April,13,Thursday,Bak Full Moon Poya Day,True,True,False
