Full_Date,Year,Month,Date,Day,Holiday_Name,Is_Holiday,Is_Public_Holiday,Is_Bank_Holiday,Is_Mercantile_Holiday,Is_Poya_Day,Is_Weekend
2005-01-01,2005,January,1,Saturday,N/A,True,False,True,False,False,True
2005-01-02,2005,January,2,Sunday,N/A,True,False,True,False,False,True
2005-01-03,2005,January,3,Monday,N/A,False,False,False,False,False,False
2005-01-04,2005,January,4,Tuesday,N/A,False,False,False,False,False,False
2005-01-05,2005,January,5,Wednesday,N/A,False,False,False,False,False,False
2005-01-06,2005,January,6,Thursday,N/A,False,False,False,False,False,False
2005-01-07,2005,January,7,Friday,N/A,False,False,False,False,False,False
2005-01-08,2005,January,8,Saturday,N/A,True,False,True,False,False,True
2005-01-09,2005,January,9,Sunday,N/A,True,False,True,False,False,True
2005-01-10,2005,January,10,Monday,N/A,False,False,False,False,False,False
2005-01-11,2005,January,11,Tuesday,N/A,False,False,False,False,False,False
2005-01-12,2005,January,12,Wednesday,N/A,False,False,False,False,False,False
2005-01-13,2005,January,13,Thursday,N/A,False,False,False,False,False,False
2005-01-14,2005,January,14,Friday,Tamil Thai Pongal Day,True,True,True,True,False,False
2005-01-15,2005,January,15,Saturday,N/A,True,False,True,False,False,True
2005-01-16,2005,January,16,Sunday,N/A,True,False,True,False,False,True
2005-01-17,2005,January,17,Monday,N/A,False,False,False,False,False,False
2005-01-18,2005,January,18,Tuesday,N/A,False,False,False,False,False,False
2005-01-19,2005,January,19,Wednesday,N/A,False,False,False,False,False,False
2005-01-20,2005,January,20,Thursday,N/A,False,False,False,False,False,False
2005-01-21,2005,January,21,Friday,Id-Ul-Alha (Hadji Festival Day),True,True,True,False,False,False
2005-01-22,2005,January,22,Saturday,N/A,True,False,True,False,False,True
2005-01-23,2005,January,23,Sunday,N/A,True,False,True,False,False,True
2005-01-24,2005,January,24,Monday,Duruthu Full Moon Poya Day,True,True,True,False,True,False
2005-01-25,2005,January,25,Tuesday,N/A,False,False,False,False,False,False
2005-01-26,2005,January,26,Wednesday,N/A,False,False,False,False,False,False
